dataset,entity,threshold_method,model,f1,precision,recall,TP,TN,FP,FN,threshold,latency,reg_level
SMD,1-2,bf_result,mtad_gat_sparsemax_vae_node,0.9135963795227577,0.851674627564998,0.9852398342206673,534.0,22959.0,93.0,8.0,0.16920000000000002,14.87481406482419,
SMD,1-2,epsilon_result,mtad_gat_gru,0.838432256975152,0.9802468893766201,0.732472311208998,397.0,23044.0,8.0,145.0,0.24588797986507416,21.832969450509157,1.0
SMD,1-2,pot_result,mtad_gat_sparsemax_vae_node,0.9076570857263788,0.970588214903609,0.8523985082583302,462.0,23038.0,14.0,80.0,0.2340198310296805,26.5710489850145,
SMD,2-1,bf_result,mtad_gat_gru,0.9582259591323017,0.919811313523496,0.9999999914529916,1170.0,22322.0,102.0,0.0,0.16920000000000002,7.6153260359535695,
SMD,2-1,epsilon_result,mtad_gat_gru,0.6191834619490817,0.9943289036988866,0.4495726457301483,526.0,22421.0,3.0,644.0,0.2927052229642868,15.666405559907336,1.0
SMD,2-1,pot_result,mtad_gat_gru,0.9150336304635598,0.9767216200123995,0.8606837533274893,1007.0,22400.0,24.0,163.0,0.223741193958249,10.333218519794224,
SMD,3-2,bf_result,mtad_gat_gru,0.9313590298697434,0.8985750134235121,0.9666366008418702,1072.0,22373.0,121.0,37.0,0.18910000000000002,13.856944900787132,
SMD,3-2,epsilon_result,mtad_gat_sparsemax_vae,0.8619755892514126,0.9999999880952383,0.757439127525346,840.0,22494.0,0.0,269.0,0.3546277740970254,209.98950052497372,1.0
SMD,3-2,pot_result,mtad_gat_gru,0.9562840197222949,0.9461606271300915,0.9666366008418702,1072.0,22433.0,61.0,37.0,0.20759592820069878,22.285395922915388,
