dataset,entity,threshold_method,model,f1,precision,recall,TP,TN,FP,FN,threshold,latency,reg_level
SMD,1-2,bf_result,pca,0.8134441606059308,0.9868420792936295,0.6918819060538394,375.0,23047.0,5.0,167.0,0.029900000000000003,9.599808003839923,
SMD,1-2,epsilon_result,pca,0.8229223717124408,0.9241379097899332,0.7416974032897159,402.0,23019.0,33.0,140.0,0.012867832090705633,5.857059184868787,1.0
SMD,1-2,pot_result,pca,0.8227929864720532,0.9385342567722399,0.732472311208998,397.0,23026.0,26.0,145.0,0.01574453884995142,9.666505558240697,
SMD,2-1,bf_result,pca,0.9647837284062716,0.9945553448769933,0.9367521287457083,1096.0,22418.0,6.0,74.0,0.029900000000000003,9.99990000099999,
SMD,2-1,epsilon_result,pca,0.9700080308405444,0.9867373918060355,0.9538461456936227,1116.0,22409.0,15.0,54.0,0.019719204399734735,9.416588195098374,1.0
SMD,2-1,pot_result,pca,0.9700080308405444,0.9867373918060355,0.9538461456936227,1116.0,22409.0,15.0,54.0,0.019985220210747924,9.416588195098374,
SMD,3-2,bf_result,isolation_forest,0.6942099051683572,0.6407322605588691,0.757439127525346,840.0,22023.0,471.0,269.0,0.5075000000000004,350.9824508774561,
SMD,3-2,epsilon_result,pca,0.9449142834466262,0.9979939719358679,0.8972046808187134,995.0,22492.0,2.0,114.0,0.016093799495138228,89.1982160356793,1.0
SMD,3-2,pot_result,pca,0.9950243629514223,0.9972825996622953,0.9927862850064357,1101.0,22491.0,3.0,8.0,0.012021237536651557,60.62424219697254,
