dataset,entity,threshold_method,model,f1,precision,recall,TP,TN,FP,FN,threshold,latency,reg_level
SMD,1-2,bf_result,mtad_gat_sparsemax_vae_node,0.9139415955524516,0.9850746058619487,0.8523985082583302,462.0,23045.0,7.0,80.0,0.26870000000000005,27.142469393294384,
SMD,1-2,epsilon_result,mtad_gat_gru,0.6961676721870782,0.9897958847008204,0.5369003590977793,291.0,23049.0,3.0,251.0,0.2878690203651786,38.332055598146724,1.0
SMD,1-2,pot_result,mtad_gat_sparsemax_vae_node,0.9085495761322151,0.9726315584709146,0.8523985082583302,462.0,23039.0,13.0,80.0,0.23663986896919106,26.5710489850145,
SMD,2-1,bf_result,mtad_gat_gru,0.9645456990993015,0.9315286550037528,0.9999999914529916,1170.0,22338.0,86.0,0.0,0.16920000000000002,7.6153260359535695,
SMD,2-1,epsilon_result,mtad_gat_gru,0.6195481221049248,0.9962121023444678,0.4495726457301483,526.0,22422.0,2.0,644.0,0.2840273752808571,15.666405559907336,1.0
SMD,2-1,pot_result,mtad_gat_gru,0.9225844162295235,0.980750712408559,0.8709401634962379,1019.0,22404.0,20.0,151.0,0.2194328826535221,10.099899001009991,
SMD,3-2,bf_result,mtad_gat_gru,0.9503496029488364,0.9346120232379074,0.9666366008418702,1072.0,22419.0,75.0,37.0,0.20900000000000002,22.285395922915388,
SMD,3-2,epsilon_result,mtad_gat_gru,0.8602211937010986,0.9999999880525688,0.7547339877841841,837.0,22494.0,0.0,272.0,0.3398787844926119,419.95800419958005,1.0
SMD,3-2,pot_result,mtad_gat_gru,0.863816210147031,0.9895226892954285,0.7664562599958858,850.0,22485.0,9.0,259.0,0.2528693344148092,105.24736881577961,
