dataset,entity,threshold_method,model,f1,precision,recall,TP,TN,FP,FN,threshold,latency,reg_level
SMD,1-2,bf_result,mtad_gat_sparsemax_vae_node,0.9112578113004073,0.8476190341647772,0.9852398342206673,534.0,22956.0,96.0,8.0,0.16920000000000002,14.87481406482419,
SMD,1-2,epsilon_result,mtad_gat_sparsemax_vae_node,0.5971643623844061,0.987234000543234,0.42804427254530864,232.0,23049.0,3.0,310.0,0.32287422940135,56.99715014249287,1.0
SMD,1-2,pot_result,mtad_gat_sparsemax_vae_node,0.9067663470299778,0.9685534388143934,0.8523985082583302,462.0,23037.0,15.0,80.0,0.23476112318766282,26.5710489850145,
SMD,2-1,bf_result,mtad_gat_sparsemax_vae_node,0.9351721749433772,0.9458041875366767,0.9247863168821683,1082.0,22362.0,62.0,88.0,0.22890000000000002,9.79990200097999,
SMD,2-1,epsilon_result,mtad_gat_sparsemax_vae_node,0.5521886963815664,0.9955456348430817,0.3820512787858865,447.0,22422.0,2.0,723.0,0.34257260989397764,4.49988750281243,1.0
SMD,2-1,pot_result,mtad_gat_sparsemax_vae_node,0.9029254201994189,0.9723865781815919,0.8427350355321792,986.0,22396.0,28.0,184.0,0.26481967145956015,53.37433282083974,
SMD,3-2,bf_result,mtad_gat_sparsemax_vae_node,0.9197719236623997,0.8772504019864943,0.9666366008418702,1072.0,22344.0,150.0,37.0,0.20900000000000002,13.856944900787132,
SMD,3-2,epsilon_result,mtad_gat_sparsemax_vae_node,0.0,0.0,0.0,0.0,22494.0,0.0,1109.0,0.38596551306545734,0.0,1.0
SMD,3-2,pot_result,mtad_gat_sparsemax_vae_node,0.9025923983869788,0.9293218631392373,0.8773669893835259,973.0,22420.0,74.0,136.0,0.22879874025507718,24.199516009679808,
